INDUSTRY,EXP_LEVEL,EXP_TITLE_ROLE,BATCH_NUM,PERSON_IDS
hospital & health care,vp,health,1,"['ysaX-mmYrlzfKXbgNPKy0Q_0000', 'rs7t8-XvILeBB2EWc2f9KQ_0000', 'TRI3h5pg9Zvz5W4HPh8NnQ_0000', 'QqO7Bb9YBLAqVuFIPN--1w_0000', 'KlxZWLdCSz9kQzBzRgZGYA_0000', 'LSA49ZcjR4cNjWRo2p8Esw_0000', 'UAlyqBZqtMvaoYukOGmS-Q_0000', 'YTYCBUabl-2dIlllycygow_0000', 'NSEvCayyBjp-XwnSPkWO1A_0000', '3jplZJTfS2G0ygAIcmV7Yg_0000', 'X2GJ9M4ZKBSSBcld5Rtp6A_0000', 'f1Yax0FPr55BvS82WgSRWw_0000', 'LAbc0Z1fMwHBrxn2zaDh8g_0000', 'BiQmfzO632uBodhZT-qFlw_0000', 'guwxz3Tim89jtcN0RIRwWg_0000', '3Xb348gk0HSbBUHvmB2RHQ_0000', 'D7aj4-03v7aCWRN6XCg-Mw_0000', 'E6BeWQb2mFPJM-BAOnzgCQ_0000', 'DDopUMn7zu8dkmsWBBOgQw_0000', 'fcZbtW5Sfis4tyRQrtfl8Q_0000', 'sbvceyD2F4HB08yz60YWSw_0000', '-AUWVa355dgPzgsMTVB7SQ_0000', '0D9b3QQoSQRHDQuod78Q8w_0000', '8aBBh8tS1Zqy8PeDQYDWqQ_0000', '45LmwD8qwrYFZBpmPEXDjw_0000', 'zZJBkIdEs3QduLk1yrddZw_0000', 'Y9Vn-Dszc9U9ZIhJFgMRtg_0000', 'c5spguMObMC7Eggn7g-ukw_0000', '0rXRl-h9ZL-UmCpCpE89qw_0000', 'VFexZZnoRIrv5YgiRNgxsA_0000', 'aW4ekShM7iKzbLc5bByVew_0000', '9l2I2ADf6a-i2Bcsu52Pfw_0000', 'S8J7WeeAtZjqSfQzZGj4VA_0000', 'Uq2GV408kI0f6tHAweydbA_0000', 'n4jRdK6QcYFhKzJiNlly5A_0000', 's-vbjwKZ4Yxlfmk7YN1ylA_0000', 'i7KN7WaljiMW-ZzlomoClQ_0000', 'B05S2CqhQ7YbtcB2BUdfOg_0000', 'yHRQaHzwXBHcdUVkkCVaKQ_0000', 'LSedLwFo4vvOuRqlPsKL4g_0000', 'wxDoJfarpohFMC48BsM-iQ_0000', 'evcorJwWE-TZp6VEgPw8oA_0000', 'fBQas7CmcUPHPf2VtZuIFg_0000', '1rDsvP8RtjHCIMkENWTNRg_0000', 'UVSJIZGSDfRAkHmsI-FLDw_0000', 'OOsIKBlbBbwlNc6CMd2hPg_0000', '7gRRgkkrHP6e7cZ9jxw3bg_0000', '7JqVYcM-iglTdnrZYaWBtQ_0000', 'cbJmkE7-2gwpe3DTW2FQEw_0000', '4WUyo0BDZkeWnf91aalgdw_0000']"
hospital & health care,entry,health,1,"['bkmUikdqVwCJ3EdlhgFt8w_0000', 'oa6zR1z-kQRyHE2-AyYGZw_0000', 'MSwKr5pG7NpDq02ZkYGoxA_0000', 'bCQVO1rV6Nqv2rdiGuNB2Q_0000', '5UK4SOBhwwrA909jrFTeZQ_0000', 'FDMJUB3cN8ADNZzpkK7mFw_0000', 'OLwsXPPUvhBwhBmKKqukqg_0000', 'zMoV5CgXo2fmoyQ8C3F-fQ_0000', '8Wo23uXgt5rpcbMbtETzFQ_0000', 'qOZtDBL5oBFi5MAv5BkJjA_0000', '762VtQ5NVzcCvvFTPmgHEg_0000', 'osnFJie7EzAdVWlEJEdm3g_0000', 'fmdLUFDZcM7t6NGvez2ceg_0000', 'SrjHtVdkDOzTdu88ThYCKA_0000', 'VZSpp99BmTHmAYFf207vBA_0000', 'y1qaBXoWaqOTZ6f9Iy47wg_0000', 'UOMdPHE44V7qoUuDZ6tc5g_0000', 'SoXYOzCGmjXfLCze6hc3Jg_0000', '3Trg6UIrWBnSpKdm26phGg_0000', 'ex3VBF1zHJFDFpv5EnOQjQ_0000', 'kYkzz1HGovtQBSy-41Mjww_0000', 'uEUFEvVZLQ5iyDUlhN9FCw_0000', 'EaOVfTfiMSSruAmNB7utVw_0000', 'T7FunRn2SGOnFJPhkA4Tmg_0000', 'UQ8U0YCVils9uz3jrmXBWw_0000', 'VXBV0mx7fZHQgzgXT03xFg_0000', '4FDc6HjAuS7TvkXMBAw5Vw_0000', 'mftKhNjgbvJBgJei3xDxJQ_0000', 'iHA3XcORL6B7Qxh-X2Ag-Q_0000', 'B8V5nMV2lnzpKe7NCIZ9Sg_0000', '1GhkFfC6omaDGHneDMvtvw_0000', 'Mfz5kzNssRgvYPshVuzBSA_0000', '2ZhEK8o7kx7Am9nPZHbtig_0000', 'Fk-GhkWBBwQ3z8R4LYmLew_0000', 'ZTvL3W03OoeEM1ptsy0CnA_0000', '0Fji2eZ2u4R0tAfpfN4-NQ_0000', 'rSznJZhfcip9NoBoMtjczA_0000', 'cOHZynLG0lExPs-nwcl57Q_0000', 'S1qqnqmBNpeViVjwiFI5hw_0000', 'i6dgGLHYytr2YMZEtuGqZQ_0000', 'd2EIef7Ojotdr7sKWv5Mog_0000', 'Im73Ok6RK1VezIS26BFPWA_0000', '9OBlK7yAv8Fk6wiCLE58VQ_0000', '31zGIxPQdU9-c3-8AfA2eQ_0000', '9w3th4Msyw1YUMex6fxwpQ_0000', 'xLhKucszElEddFbLHWJ3OQ_0000', '4D8LqpKBf8GhBXVf3n7Bpg_0000', '3r2naXgVpDwowaG64oGJCQ_0000', 'aefNaCiAgFMnBjqFo1OsoQ_0000', '0qxWUhTaGBfUB6PYqpn1BA_0000']"
hospital & health care,entry,health,2,"['Oa8BFxW0teUB8NMu5AtcRA_0000', 'UuE-Znzdp9M5IzcPFSjMwg_0000', 'lQeRlM5D5FawXCz7U3I2jQ_0000', 'L-o29S5hS2QtBJW71tVBgQ_0000', 'x-5bWB-eajcdqsl2oRBdxQ_0000', 'ZYFaVB0TrDlpIY-AuRfdNQ_0000', 'ivJr3zBKfDj3M46HWjXvuA_0000', '5GiEqYlYo7hUSoJBPVcPSw_0000', '5qk8CoU9Yv5Ov-vqK5C-nw_0000', 'oxdhiEKcorFzSlwdvUdd0w_0000', 'MA5-0-RlhBnMSQdNNG8wPA_0000', '5HDdIkGJxBP2bPETd6MfTQ_0000', 'QANz6TWRzO3RmkNetcDN4g_0000', 'NNZUuomBczPGS2GaKUdxiw_0000', 'cIUc9hn3WS6D0d60-bPFKg_0000', 'pF7no0dVVYCvo3j3kqDkMQ_0000', 'K6RlDHfByHY8LyWbvPhpyg_0000', 'm60rIxksBk--mrPFEyCfHw_0000', '1afVgFvgec1PQT1BaiKF9A_0000', 'gWwsUphw8EwyTzSaWGnvmQ_0000', 'Nfp24GKT0UPjU0TgTbiHuA_0000', 'YS5zQpRtA0ZSYr4VskwClA_0000', 'si6g6JmeX2EeBLBTKf9alA_0000', 'UJmctrUSn7vhBUTRIox-nQ_0000', 'ZZSfU4ByglJnBlKfaC0sQQ_0000', 'AFKBV4FXe-fz76EgjGXa1A_0000', '1lA6yQutbrjX3cmByp3z-A_0000', 'tMKoDRWM1DKBwBIKTWWi9g_0000', 'wq3v0ZwKfaxf4K9n45QL0Q_0000', 'i8JWdOa4xTj4TNpVEnOI8Q_0000', 'rJBByY8zlmFbYwY6GLFFvA_0000', 'bB5nFDTTOJudVea4GywdbA_0000', 'VDhRxRBPuhJifsqiB0eDYA_0000', '09lwQBVEm7letN1cEBQXSg_0000', '7MChwhligmL5GPo8FuLzSQ_0000', 'oWK7HCB3Ta00QHUuiD4GVA_0000', 'QN8l5E7Qmz6dexwboBnBRA_0000', 'au9osJ7vslBUyTyvp4AzXw_0000', 'kogmrGfDuNjssLiuPj-6ZQ_0000', 'glUpIdEWRPulR-69ePEqjw_0000', 'ogiVQc2lkkJU6kbGy5biMg_0000', 'gCo5vYmY1Cd17vOco9FsMw_0000', '7D743dewJQQYhqKRteGOmw_0000', '3xYgdKaZKeHO2hCgdaOQRw_0000', 'ZBqaQjcDWtFEoEeh0lR-Bg_0000', 'qmIYfBd4J2PYUZYaY5QVIg_0000', 'KFN1j2yH9ZWqZxZoM24oww_0000', 'hdVR2RhP4RvLS3zU3l9fdg_0000', 'TZxlmO2tTZPbH2wPb7iLqA_0000', '9hjW477NE8agG1qdsBORtQ_0000']"
hospital & health care,entry,health,3,"['yihOZNG7HLBS206q4l7yeg_0000', 'PlgQ6oTHQBDbYH2DSmZTlw_0000', 'x05PSDM3oiZDlVtjAaEU8A_0000', 'vgluPrPHNPl0T4vKGDKXsQ_0000', 'AbWzk31hpExBJGwYzEbgVQ_0000', 'VtSuPIwxO0EEb7lmheIMYw_0000', '5hcg7WMRv4YzqKvh3io4og_0000', 'lO1r9LJ1rE9AOcdjCsogAw_0000', 'JA9WtQo5rBmg7rP8hxaFwA_0000', 'xSTthmz2ydzyRaH7BY-p1g_0000', 'cKA39lCIepkZBIyFJosBkA_0000', '9aDIq0qb4gc-6fRDKIqbUg_0000', 'i58teP9T4ub1eaaJiHyZCA_0000', 'B02gsFgrcnK43NC7kAcwdQ_0000', '0429F2J0poPq4afD2HqHqg_0000', 'EUD-wcm7-TstxppqY74KVw_0000', 'bMLcb14CGll1BlJ72Yxcjg_0000', 'SmU8AlBBCxsVUr-Rf66l6w_0000', '9BxudHA3xmkaTfLszXK6Aw_0000', 'Tgl-gZd5J3Smbk9-F5ImUA_0000', 'GceqUAnxMJJj4PBfOZyBWQ_0000', 'xUXyaZylJ42FJ3NF6DTtMQ_0000', 'IfkX-gOaf-6vBl7IDBFXgQ_0000', 'l992dO9NLXXTduMZjZHLHA_0000', 'axJB5LDGkoRCc5k90EH0gg_0000', 'BV1ihgX8IwhGDmTVT0UyaQ_0000', 'dqBytwHAA-tmil8BI9gZrQ_0000', 'FL9cMHbZBX5PQJ8RhlFntA_0000', '5B4lZJXJXjlrY7fh2D9ZOA_0000', 'zYPNw3AXLUiQlvlY3aMcAw_0000', 'djcxByhBw--d-az6ffQ1Rw_0000', '69RAA6O4Eoo3zwDvPhYkaA_0000', 'SjJ6ocjY7BNPBSnmeRBldQ_0000', 'MT5p6IQgrZQew2GHBHUDLw_0000', 'z3FA5vBCXrpcJjl4giYcqQ_0000', 'ztO4zoEEhl2pX-vLgjuuuw_0000', 'c4E1w7lVypXHxA-VEy7MXQ_0000', 'yPhTPmagPhaQW8R1JW3w9g_0000', '77TNZf2inPTHbWpuro2bCg_0000', '0U0DJCBUqH2bgNw7o3CWBw_0000', 'gu3llT5No8kpAsJC2J8EaQ_0000', '-rWn0cx8HoB16moRJh2nWg_0000', 'OlFG8B76pheOwDF4BWOfqg_0000', 'EXDkWb3FkhBH6MT9HYckHw_0000', 'BYwFFwOLZ5wDvn6HwX93eg_0000', 'afEQuTrcvJPZ9Vzd7X2BBg_0000', 'SJplSIwcbH2tQsbK5iSr6Q_0000', 'n62we8GGwqd70EwlPmHpNA_0000', 'Sp5cRkQPciQ0p4AMwxTgUA_0000', 'wgt2yZPhsm-RqCYctX8isA_0000']"
hospital & health care,entry,health,4,"['qhkLiemjrri0kNDnN25X6g_0000', 'AKE1Tm4hy2IZReB3g8IAuw_0000', 'nG7-np7dQUr-oylwCukr2w_0000', 'fzX3ikFjRBSvemGq6dLNWg_0000', 'rr1Ir7r4WO2N0B7FmWYzdg_0000', 'hNjGdJ0mf9I-hU547uiBGg_0000', '4axPG0qod5E4GQa2OoY4yQ_0000', 'ILTjEE9IOq1-B635vZ2tYA_0000', 'BxJ1wo9hiTLY8fBQrgvb5w_0000', 'YqtHp26zyQRTtF6UzFXdOw_0000', 'mWgCv1dnOoDgW1Z5r68vHg_0000', 'NOgYTcHpB5iuX8mgvDgekA_0000', '4eWVTSM2p4NvpfeltbsyWg_0000', 'rqge6mH6WDTec2o0juZ2uw_0000', 'lSNk785O21eGiY4hh9j4xQ_0000', 'TaxViZmLUnf1qgK5QK-YpQ_0000', 'Bu6FnSYdKnzT9T430pV5dg_0000', '6iZceJ9Yuq5TYuImF4bckQ_0000', 'QFQiCMYuVB2tMl9l2VxBXg_0000', 'FfuFObGVFqApLdTDrmgNVQ_0000', 'vKhNLJ9wO1AU2TTcW0C7dg_0000', 'Odaq88Mu-bsb757u8QIzGw_0000', 't6eHJ8Lt9CWJRtE1U2Ha2A_0000', 'RpiFJNa6JPONpTlZswx3lw_0000', '9UjzzsQxyBh-daqf82YPiQ_0000', '6lkI55IPreb5fmHdpJ493Q_0000', 'UPivklemj5HbV9aGy9foEw_0000', '1CXx1uGO9OQJq51ysOrm5w_0000', 'acMAyf6bi9qAYXV4CUB40A_0000', 'bH6j27nX6zN1wUSzjF2llQ_0000', '-J-HXqFl8hPpOHKyIjkMBQ_0000', '03ziuGG-hwkGq71hUnjntQ_0000', '0U3VkyBJ6dDrxscKiC0LHQ_0000', 'jW4gQ1Xj8lnNHC30jCEnww_0000', '6U7yuBCGXqvF0Ji7d4BlQA_0000', '-cLyvKX6Kj52NyKVnF40Gg_0000', 'R50oZ2AdvHw1l4WxR5VWGw_0000', '2zchevo0j3jOaa0pGw5PbQ_0000', 'OMzvVTycp5nNkVyfNLGIEQ_0000', 'i9DG3933AvIpBUiraP8ZZQ_0000', 'qLzBWJZgByspAt2QsLqcTg_0000', 'PhYlvmukUr56sUUQravsnw_0000', 'tsLSLm4arBzReJnMBA-Mrw_0000', '3vQBDJB0nlcaqs0gJZTrTA_0000', 'Y-sMsCe0VWXn7Yu4Xvgfpw_0000', 'fN5E4ikxqAXnrw1Uud9g4Q_0000', 'EQUd7tWK4A8MdRxFbN8W7A_0000', 'ABP8ALHokCi6-TtxZxtziQ_0000', 'uYC-6LQ-ZW6YyH5eDGPQSw_0000', 'MjFKbK-JsefITl8WukRoFQ_0000']"
